hospital_id,hospital_name,telephone,opening_hours,weekday_lunch,weekend_lunch,medical_subject,address
1046,보문한의원,02-926-8844,"monday 09:30:00-19:00:00, tuesday 09:30:00-19:00:00, wednesday 09:30:00-19:00:00, thursday 09:30:00-19:00:00, friday 09:30:00-19:00:00, saturday 09:30:00-13:00:00, holiday 09:30:00-19:00:00",,00:00:00-00:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 한방재활의학과, 사상체질과",서울 성북구 정릉동 407-12 태영빌딩2층
10566,서울바른소아치과의원,02-743-2842,"monday 10:00:00-18:00:00, tuesday 10:00:00-18:00:00, wednesday 10:00:00-18:00:00, thursday 10:00:00-18:00:00, friday 10:00:00-18:00:00, saturday 10:00:00-14:30:00",12:00:00-13:40:00,12:00:00-13:00:00,"치과, 내과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 동소문동2가 229 2층
10605,서울온치과의원,02-2135-2875,"monday 09:30:00-18:30:00, tuesday 09:30:00-21:00:00, wednesday 09:30:00-18:30:00, thursday 09:30:00-18:30:00, friday 09:30:00-18:30:00, saturday 09:30:00-14:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 예방치과",서울 성북구 장위동 218-32 소산빌딩
11240,오제홍재활의학과의원,02-923-1696,"monday 09:00:00-19:00:00, tuesday 09:00:00-19:00:00, wednesday 09:00:00-19:00:00, thursday 09:00:00-19:00:00, friday 09:00:00-19:00:00, saturday 09:00:00-14:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"재활의학과, 정형외과, 신경외과, 마취통증의학과",서울 성북구 동소문동5가 67-1 강윤빌딩 3층
11501,이보영소아과의원,02-766-9334,"monday 09:30:00-18:00:00, tuesday 09:30:00-18:00:00, wednesday 09:30:00-18:00:00, thursday 09:30:00-13:00:00, friday 09:30:00-18:00:00, saturday 09:30:00-13:00:00",13:00:00-14:00:00,00:00:00-00:00:00,소아청소년과,서울 성북구 동소문동1가 32-1 청운빌딩
11588,이혁준정형외과의원,02-922-3232,"monday 09:00:00-19:00:00, tuesday 09:00:00-19:00:00, wednesday 09:00:00-19:00:00, thursday 09:00:00-19:00:00, friday 09:00:00-19:00:00, saturday 09:00:00-16:00:00, holiday 09:00:00-13:00:00",13:00:00-14:00:00,13:00:00-14:00:00,"외과, 내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 재활의학과",서울 성북구 동소문동6가 217-1 원호빌딩
11660,장위365경희한의원,02-6952-2800,"monday 10:00:00-21:00:00, tuesday 10:00:00-21:00:00, wednesday 10:00:00-21:00:00, thursday 10:00:00-21:00:00, friday 10:00:00-21:00:00, saturday 10:00:00-17:00:00, sunday 10:00:00-17:00:00, holiday 10:00:00-17:00:00",13:00:00-14:00:00,13:00:00-14:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 한방재활의학과, 사상체질과",서울 성북구 장위동 143-38 3층
11848,지인산부인과의원,02-923-8888,"monday 09:00:00-20:00:00, tuesday 09:00:00-20:00:00, wednesday 09:00:00-20:00:00, thursday 09:00:00-20:00:00, friday 09:00:00-20:00:00, saturday 09:00:00-16:00:00",14:00:00-15:00:00,00:00:00-00:00:00,"산부인과, 피부과",서울 성북구 동선동1가 1-2 유타
11886,참한의원,02-943-4300,"monday 09:30:00-21:00:00, tuesday 09:30:00-19:00:00, wednesday 09:30:00-19:00:00, thursday 09:30:00-21:00:00, friday 09:30:00-19:00:00, saturday 09:30:00-16:00:00",13:00:00-14:00:00,13:00:00-14:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 한방재활의학과, 사상체질과",서울 성북구 하월곡동 76-27
11951,최준내과의원,02-915-7812,"monday 09:00:00-18:30:00, tuesday 09:00:00-18:30:00, wednesday 09:00:00-18:30:00, thursday 09:00:00-18:30:00, friday 09:00:00-18:30:00, saturday 09:00:00-13:30:00",12:30:00-13:30:00,00:00:00-00:00:00,내과,서울 성북구 장위동 237-72 한우리교회
