hospital,score,top_keywords,n_review,keyword_coverage,keyword_freq,keyword_matched
사계절에스한의원,19.5,"친절,추천,대기시간",38,1.0,"{'친절': 17, '추천': 4, '대기시간': 1}","['친절', '추천', '대기시간']"
힐링산부인과의원,19.0,"친절,자세한 설명,대기시간",53,1.0,"{'친절': 23, '자세한 설명': 24, '대기시간': 7}","['친절', '자세한 설명', '대기시간']"
노원 명한의원,15.5,"친절,자세한 설명,추천",46,1.0,"{'친절': 20, '자세한 설명': 11, '추천': 7}","['친절', '자세한 설명', '추천']"
여진주한의원,13.5,"친절,추천,자세한 설명",44,1.0,"{'친절': 24, '추천': 13, '자세한 설명': 13}","['친절', '추천', '자세한 설명']"
디딤정신건강의학과의원,13.5,"친절,자세한 설명,과잉진료",22,1.0,"{'친절': 15, '자세한 설명': 2, '과잉진료': 2}","['친절', '자세한 설명', '과잉진료']"
인애한의원 노원점,13.0,"친절,추천,자세한 설명",33,1.0,"{'친절': 9, '추천': 3, '자세한 설명': 1}","['친절', '추천', '자세한 설명']"
유앤영피부과의원 노원점,12.0,"대기시간,친절,추천",71,1.0,"{'대기시간': 11, '친절': 24, '추천': 15}","['대기시간', '친절', '추천']"
한의원혜민서,11.0,"친절,추천,자세한 설명",35,1.0,"{'친절': 21, '추천': 6, '자세한 설명': 4}","['친절', '추천', '자세한 설명']"
상계바론정형외과의원,11.0,"자세한 설명,비쌈,대기시간",30,1.0,"{'자세한 설명': 9, '비쌈': 6, '대기시간': 10}","['자세한 설명', '비쌈', '대기시간']"
올리브산부인과의원,8.0,"자세한 설명,친절,과잉진료",62,1.0,"{'자세한 설명': 39, '친절': 54, '과잉진료': 14}","['자세한 설명', '친절', '과잉진료']"
연세내과의원,8.0,"친절,자세한 설명,대기시간",12,1.0,"{'친절': 7, '자세한 설명': 4, '대기시간': 2}","['친절', '자세한 설명', '대기시간']"
솔한의원,8.0,"친절,추천,대기시간",10,1.0,"{'친절': 4, '추천': 1, '대기시간': 1}","['친절', '추천', '대기시간']"
영광한의원,7.5,"친절,추천,과잉진료",43,1.0,"{'친절': 25, '추천': 16, '과잉진료': 14}","['친절', '추천', '과잉진료']"
연세정형외과의원,7.0,"자세한 설명,대기시간,친절",13,1.0,"{'자세한 설명': 173, '대기시간': 64, '친절': 222}","['자세한 설명', '대기시간', '친절']"
이관철이비인후과의원,6.0,"친절,자세한 설명,추천",55,1.0,"{'친절': 30, '자세한 설명': 13, '추천': 11}","['친절', '자세한 설명', '추천']"
사계절한의원,6.0,"친절,추천,자세한 설명",31,1.0,"{'친절': 26, '추천': 10, '자세한 설명': 11}","['친절', '추천', '자세한 설명']"
이종익내과의원,6.0,"친절,자세한 설명,대기시간",10,1.0,"{'친절': 2, '자세한 설명': 1, '대기시간': 1}","['친절', '자세한 설명', '대기시간']"
맑은숨이비인후과의원,6.0,"청결,대기시간,친절",12,1.0,"{'청결': 6, '대기시간': 10, '친절': 16}","['청결', '대기시간', '친절']"
강지천한의원,5.5,"친절,대기시간,자세한 설명",23,1.0,"{'친절': 42, '대기시간': 27, '자세한 설명': 22}","['친절', '대기시간', '자세한 설명']"
인덕한의원,5.5,"친절,자세한 설명,과잉진료",20,1.0,"{'친절': 11, '자세한 설명': 4, '과잉진료': 3}","['친절', '자세한 설명', '과잉진료']"
하늘별소아청소년과의원,5.0,"친절,자세한 설명,대기시간",11,1.0,"{'친절': 14, '자세한 설명': 5, '대기시간': 6}","['친절', '자세한 설명', '대기시간']"
월계의원,4.5,"친절,과잉진료,자세한 설명",37,1.0,"{'친절': 21, '과잉진료': 10, '자세한 설명': 19}","['친절', '과잉진료', '자세한 설명']"
경희백세한의원,4.5,"친절,추천,자세한 설명",48,1.0,"{'친절': 29, '추천': 16, '자세한 설명': 14}","['친절', '추천', '자세한 설명']"
우리들이비인후과의원,4.5,"자세한 설명,친절,과잉진료",28,1.0,"{'자세한 설명': 52, '친절': 82, '과잉진료': 6}","['자세한 설명', '친절', '과잉진료']"
애플소아청소년과의원,4.0,"친절,자세한 설명",6,1.0,"{'친절': 1, '자세한 설명': 1}","['친절', '자세한 설명']"
은혜부부치과의원,4.0,"친절,비쌈",4,1.0,"{'친절': 1, '비쌈': 1}","['친절', '비쌈']"
더바른한의원,4.0,"친절,자세한 설명,과잉진료",22,1.0,"{'친절': 21, '자세한 설명': 3, '과잉진료': 1}","['친절', '자세한 설명', '과잉진료']"
중계제일의원,3.5,"친절,자세한 설명,추천",9,1.0,"{'친절': 9, '자세한 설명': 2, '추천': 3}","['친절', '자세한 설명', '추천']"
기쁨소아청소년과의원,3.0,"친절,청결",5,1.0,"{'친절': 2, '청결': 1}","['친절', '청결']"
이미지치과의원,3.0,"자세한 설명,친절,대기시간",8,1.0,"{'자세한 설명': 9, '친절': 12, '대기시간': 1}","['자세한 설명', '친절', '대기시간']"
노원백정형외과의원,3.0,"자세한 설명,친절,청결",12,1.0,"{'자세한 설명': 13, '친절': 15, '청결': 9}","['자세한 설명', '친절', '청결']"
서울 의원,3.0,"친절,불친절,추천",9,0.0,"{'친절': 0, '불친절': 0, '추천': 0}",[]
경희정담한의원,3.0,"자세한 설명,친절,추천",8,1.0,"{'자세한 설명': 2, '친절': 1, '추천': 1}","['자세한 설명', '친절', '추천']"
365MC의원,3.0,"친절,청결",3,0.5,"{'친절': 0, '청결': 1}",['청결']
공릉참편한의원,3.0,친절,3,1.0,{'친절': 3},['친절']
이형일소아과의원,3.0,"친절,대기시간,과잉진료",11,1.0,"{'친절': 18, '대기시간': 4, '과잉진료': 2}","['친절', '대기시간', '과잉진료']"
연세키즈소아청소년과의원,2.5,"대기시간,친절,자세한 설명",7,1.0,"{'대기시간': 8, '친절': 14, '자세한 설명': 8}","['대기시간', '친절', '자세한 설명']"
상계연세소아과의원,2.5,자세한 설명,9,1.0,{'자세한 설명': 1},['자세한 설명']
에프엠성모의원,2.5,"친절,자세한 설명,청결",2,1.0,"{'친절': 18, '자세한 설명': 18, '청결': 12}","['친절', '자세한 설명', '청결']"
이병희이비인후과의원,2.5,"친절,대기시간,청결",6,1.0,"{'친절': 3, '대기시간': 2, '청결': 1}","['친절', '대기시간', '청결']"
스카이서울안과의원,2.5,"대기시간,친절,청결",7,1.0,"{'대기시간': 14, '친절': 24, '청결': 10}","['대기시간', '친절', '청결']"
현대한의원,2.0,"친절,자세한 설명,청결",2,1.0,"{'친절': 6, '자세한 설명': 6, '청결': 4}","['친절', '자세한 설명', '청결']"
e-편한치과의원,2.0,"친절,불친절",2,0.0,"{'친절': 0, '불친절': 0}",[]
닥터쁘띠의원 노원점,2.0,"친절,자세한 설명",2,1.0,"{'친절': 1, '자세한 설명': 1}","['친절', '자세한 설명']"
삼성드림이비인후과의원,2.0,"친절,자세한 설명,청결",6,1.0,"{'친절': 10, '자세한 설명': 3, '청결': 1}","['친절', '자세한 설명', '청결']"
샤인치과교정과 치과병원,2.0,친절,2,1.0,{'친절': 1},['친절']
생명마루한의원,2.0,,2,0.0,{'nan': 0},[]
인제대학교 상계백병원,2.0,"친절,청결,자세한 설명",16,1.0,"{'친절': 4, '청결': 2, '자세한 설명': 1}","['친절', '청결', '자세한 설명']"
닥터에버스의원,2.0,친절,4,1.0,{'친절': 1},['친절']
을지대학교 을지병원,2.0,"친절,대기시간,시설",22,1.0,"{'친절': 9, '대기시간': 4, '시설': 4}","['친절', '대기시간', '시설']"
참사랑한의원,2.0,친절,2,1.0,{'친절': 1},['친절']
박현숙소아과의원,2.0,,2,0.0,{'nan': 0},[]
방병원,2.0,"대기시간,친절,자세한 설명",15,1.0,"{'대기시간': 28, '친절': 42, '자세한 설명': 22}","['대기시간', '친절', '자세한 설명']"
성모바른정형외과의원,2.0,"대기시간,친절,자세한 설명",7,1.0,"{'대기시간': 18, '친절': 47, '자세한 설명': 30}","['대기시간', '친절', '자세한 설명']"
한국원자력의학원원자력병원,2.0,"시설,친절",6,1.0,"{'시설': 2, '친절': 1}","['시설', '친절']"
고은소아청소년과의원,2.0,친절,6,1.0,{'친절': 1},['친절']
